"COUNTRY_OR_AREA","COMMODITY_TRANSACTION","YEAR","UNIT","QUANTITY_FOOTNOTES","QUANTITY"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","12.0830001831055"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","11.6300001144409"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","11.3129997253418"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","10.9781999588013"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","8.79109954833984"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","8.73130035400391"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","5"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","6"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","8"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","8"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","8"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","9"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","9"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","9"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","10"
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","10"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","95"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","171"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","173"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","179"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","199"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","203"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","189"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","185"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","175"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","177"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","191"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","217"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","238"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","236"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","209"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","275"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","284"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","297"
"Belarus","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","289"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","82"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","86"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","43"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","64"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","90"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","58"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","51"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","63"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","72"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","69"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","105"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","90"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","90"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","91"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","88"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","125"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","157"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","109"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","119"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","143"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","164"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","127"
"Belgium","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","144"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","11"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1","10.6990003585815"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","10.9937000274658"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1","11.5839996337891"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1","11.878999710083"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","15.0299997329712"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1","14"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1","13.5"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1","13"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1","12.5"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1","12"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1","15"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1","13"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","1","11"
"Belize","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","1","9"
"Benin","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","10"
