"Country_or_Area","Commodity_Transaction","Year","Unit","Quantity","Quantity_Footnotes"
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","70",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","70",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","80",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","70",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","63",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","53",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","57",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","9",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","37",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","30",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","29",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","23",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","21",
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","19",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1566",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","1485",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","1472",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","1481",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","1272",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","1299",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","1302",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","1450",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","1597",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","1359",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","1372",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","1353",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","1397",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","1441",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","1398",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","1322",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","1337",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","1336",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","1408",
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","1494",
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","2.59062","1"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","2.59062",
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","2.70853",
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","2.610662",
